Foto,Latitude,Longitude,Local
2019-10-19_02-14-38_UTC.jpg,-8.504167,-35.001111,Porto de Galinhas
2018-09-10_23-27-44_UTC_3.jpg 2018-09-10_23-27-44_UTC_2.jpg 2018-09-10_23-27-44_UTC_1.jpg,,,
2018-07-12_16-25-14_UTC.jpg,,,bahia de todos os santos
2019-07-19_13-41-33_UTC.jpg,-8.7630169081,-35.1042623818,ICMBio Costa dos Corais
2019-11-20_09-03-08_UTC_2.jpg 2019-11-20_09-03-08_UTC_1.jpg 2019-11-20_09-03-08_UTC_3.jpg,,,UFRN
2019-11-19_21-19-08_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2018-11-09_00-23-54_UTC.jpg,,,
2019-05-01_11-41-46_UTC.jpg,-3.8449,-32.40868,Fernando de Noronha
2020-04-20_19-11-41_UTC.jpg,,,
2019-02-28_22-09-27_UTC.jpg,,,
2018-06-21_09-45-58_UTC.jpg,-22.9774,-42.0267,arraial do cabo
2019-03-29_14-11-05_UTC.jpg,-9.46442,-35.55228,"Paripueira, Alagoas, Brazil"
2019-10-31_19-13-46_UTC.jpg,,,
2019-11-08_13-01-28_UTC.jpg,-9.0130128009,-35.2213435797,Maragogi Piscinas Naturais
2018-08-03_15-01-10_UTC.jpg,,,
2020-01-13_23-57-51_UTC.jpg,-8.75665,-35.1033,tamandaré
2019-11-06_12-12-12_UTC.jpg,-16.7982,-49.2742,Aparecida de Goiânia
2016-10-26_20-21-51_UTC.jpg,,,
2020-01-11_10-41-20_UTC.jpg,-7.1150899999999995,-34.8641,joão pessoa
2020-01-30_22-42-50_UTC_2.jpg 2020-01-30_22-42-50_UTC_3.jpg 2020-01-30_22-42-50_UTC_1.jpg,,,
2019-11-12_23-07-22_UTC_3.jpg 2019-11-12_23-07-22_UTC_2.jpg 2019-11-12_23-07-22_UTC_1.jpg,,,
2019-11-06_03-24-46_UTC.jpg,,,
2019-10-19_14-04-52_UTC.jpg,,,
2019-10-10_23-37-25_UTC_2.jpg 2019-10-10_23-37-25_UTC_1.jpg,,,
2019-06-11_22-59-37_UTC.jpg,,,
2019-05-05_16-06-10_UTC.jpg,-5.8008,-35.2095,"Natal, Rio Grande do Norte"
2019-01-26_00-59-44_UTC.jpg,,,
2019-10-22_23-10-43_UTC.jpg,,,
2019-02-27_10-11-56_UTC.jpg,-23.622171,-46.411453,Parque Estadual Marinho da Laje de Santos
2018-12-02_23-50-30_UTC.jpg,-7.1150899999999995,-34.8641,joão pessoa
2018-08-06_23-48-56_UTC_1.jpg 2018-08-06_23-48-56_UTC_2.jpg,,,maracajau
2020-01-17_23-43-42_UTC.jpg,-5.2717347064,-35.3831888366,Parrachos Rio do Fogo
2018-12-18_23-35-20_UTC_1.jpg 2018-12-18_23-35-20_UTC_2.jpg,,,abrolhos
2019-10-27_22-04-27_UTC_5.jpg 2019-10-27_22-04-27_UTC_2.jpg 2019-10-27_22-04-27_UTC_1.jpg 2019-10-27_22-04-27_UTC_3.jpg 2019-10-27_22-04-27_UTC_4.jpg,-10.1333,-36.1667,Pontal De Coruripe
2019-03-28_15-30-35_UTC.jpg,-17.73775687,-39.2595705767,Parque Nacional Marinho dos Abrolhos
2018-08-12_23-41-48_UTC.jpg,,,
2019-04-01_22-39-47_UTC.jpg,-22.9888961892,-42.0128130913,Prainhas - Pontal Do Atalaia
2019-11-02_08-18-57_UTC_1.jpg 2019-11-02_08-18-57_UTC_2.jpg,,,
2020-03-24_23-08-02_UTC.jpg,,,
2019-02-11_01-00-28_UTC_2.jpg 2019-02-11_01-00-28_UTC_1.jpg,,,Arraial Do Cabo - Rio de Janeiro
2018-09-04_09-44-39_UTC.jpg,,,abrolhos
2020-05-04_16-43-07_UTC_1.jpg 2020-05-04_16-43-07_UTC_2.jpg,-9.08746,-35.2634,japaratinga
2019-10-08_23-15-25_UTC.jpg,,,
2019-06-19_11-39-10_UTC.jpg,-9.08746,-35.2634,japaratinga
2018-08-24_00-02-51_UTC.jpg,,,
2019-05-28_23-31-17_UTC.jpg,,,
2019-12-16_20-51-32_UTC.jpg,-22.76914,-41.78942,Ilha da Âncora
2020-02-10_23-08-55_UTC.jpg,-7.161,-34.8705,João Pessoa - Paraíba
2019-02-26_10-51-17_UTC.jpg,-23.622171,-46.411453,Parque Estadual Marinho da Laje de Santos
2017-08-15_17-29-41_UTC.jpg,,,
2019-05-25_12-40-23_UTC.jpg,-5.4125015649,-35.3100113021,"Maracajaú, Rio Grande Do Norte, Brazil"
2019-08-22_22-10-10_UTC.jpg,-28.4498,-52.1986,maraú
2018-12-23_18-33-22_UTC.jpg,-7.1150899999999995,-34.8641,joão pessoa
2020-05-01_17-51-40_UTC.jpg,,,
2020-03-29_15-02-42_UTC.jpg,-5.79068,-35.3257,são gonçalo do amarante
2019-01-14_00-23-37_UTC_3.jpg 2019-01-14_00-23-37_UTC_8.jpg 2019-01-14_00-23-37_UTC_7.jpg 2019-01-14_00-23-37_UTC_2.jpg 2019-01-14_00-23-37_UTC_6.jpg 2019-01-14_00-23-37_UTC_9.jpg 2019-01-14_00-23-37_UTC_5.jpg 2019-01-14_00-23-37_UTC_1.jpg 2019-01-14_00-23-37_UTC_4.jpg,-23.1413034706,-44.1673962165,Lagoa Verde Ilha Grande
2018-10-05_12-03-21_UTC.jpg,-3.8396,-32.4107,fernando de noronha
2019-01-03_22-37-06_UTC.jpg,,,
2019-06-14_08-16-13_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2019-03-22_02-57-32_UTC.jpg,-5.2765,-35.3794,rio do fogo
2019-04-27_16-45-53_UTC.jpg,-9.08746,-35.2634,japaratinga
2019-12-24_22-44-23_UTC.jpg,,,
2019-05-06_11-11-57_UTC.jpg,-9.08746,-35.2634,japaratinga
2018-06-22_00-25-37_UTC_2.jpg 2018-06-22_00-25-37_UTC_1.jpg 2018-06-22_00-25-37_UTC_3.jpg,,,
2020-02-13_23-55-20_UTC_4.jpg 2020-02-13_23-55-20_UTC_2.jpg 2020-02-13_23-55-20_UTC_3.jpg 2020-02-13_23-55-20_UTC_1.jpg,-12.9718,-38.5011,salvador
2018-09-17_19-48-56_UTC.jpg,,,
2018-12-20_11-10-54_UTC.jpg,-3.8396,-32.4107,fernando de noronha
2020-05-21_15-01-10_UTC.jpg,,,
2019-02-25_14-24-57_UTC.jpg,-8.7630169081,-35.1042623818,ICMBio Costa dos Corais
2019-01-25_13-51-21_UTC.jpg,-7.0763381,-34.8304877,Caribessa
2020-02-18_23-23-42_UTC.jpg,,,
