"Estado","Cidade","Localidade","Tag de praias"
"alagoas","maragogi","galés de maragogi","#galésdemaragogi
#galesdemaragogi 
#maragogi
#euamoalagoas
#alagoas"
"alagoas","maragogi","praia de antunes","#praiadeantunes
#euamoalagoas
#maragogi
#alagoas"
"alagoas","maragogi","praia de barra grande","#praiadebarragrande
#euamoalagoas
#maragogi
#alagoas"
"alagoas","maragogi","praia de burgalhau","#praiadeburgalhau
#maragogi
#euamoalagoas
#alagoas"
"alagoas","maragogi","piscinas naturais","#piscinasnaturaismaragogi
#maragogi
#euamoalagoas
#alagoas"
"alagoas","maragogi","praia de peroba","#praiadeperoba
#praiadeperobaalagoas
#praiadeperéba
#praiadeperobaal
#praiadeperobamaragogi
#praiadeperóbamaragogi
#maragogi
#alagoas"
"alagoas","maceió","                                                                                 ~~çççç","#praiadepontaverde
#praiadepontaverdemaceio
#praiadepontaverdebeach
#praiadepontaverdemaceió
#praiadepontaverdemaceióalagoasbrasil
#praiadepontaverdeal
#praiadepontaverdemaceioalagoas
#maceio
#alagoas
#maceioalagoas
#maceió
#maceióalagoas
#maceioblogs"
"alagoas","maceió","praia da jatiuca","#praiadajatiuca
#praiadajatiuca
#praiadajatiucamaceioal
#maceio
#alagoas
#maceioalagoas
#maceió
#maceióalagoas
#maceioblogs"
"alagoas","maceió","pajuçara","#pajuçara
#pajucara
#maceió
#maceioalagoas
#maceio"
"alagoas","maceió","alagoinhas","#alagoinhasmaceio
#maceio
#alagoas
#maceioalagoas
#maceió
#maceióalagoas
#maceioblogs"
"alagoas","são miguel dos milagres","praia do patacho","#praiadopatacho
#praiadopatachoalagoas
#saomigueldosmilagres
#alagoas
#sãomigueldosmilagres"
"alagoas","piaçabuçu","pontal do peba","#praiadopontaldopeba
#piaçabuçu
#alagoas
#piacabucu
#piaçabuçualagoas
#piaçabuçú
#piaçabuçual
#piacabucualagoas
#piaçabuçulindo"
"alagoas","porto de pedras","praia de lages","#praiadelages 
#praiadelagesalagoas
#portodepedras
#alagoas"
"alagoas","japaratinga","apa costa dos corais","#apacostadoscorais
#japaratinga
#costadoscoraisalagoas
#costadoscoraisalagoas
#alagoas"
"alagoas","barra de santo antônio","apa costa dos corais","#apacostadoscorais
#barradesantoantonio
#barradesantoantônio
#costadoscoraisalagoas
#barradesantoantôniomaceió
#alagoas"
"alagoas","paripueira","apa costa dos corais","#apacostadoscorais
#paripueira
#parnaibapiaui"
"alagoas","marechal deodoro","praia do francês","#marechaldeodoro
#alagoas
#praiadofrances
#praiadofrancês
#praiadofrancesalagoas
#praiadofrênces"
"alagoas","feliz deserto","vaziu","#felizdeserto 
#alagoas"
"alagoas","penedo","vaziu","#penedo
#alagoas
#penedoalagoas"
"bahia","abrolhos","ilha redonda","#ilharedonda
#abrolhos
#abrolhosparquenacional
#abrolhosislands
#bahia"
"bahia","abrolhos","parcel das paredes","#parceldasparedes
#abrolhos
#bahia
#abrolhosparquenacional"
"bahia","salvador","quebra mar do porto de salvador","#bahia
#salvador
#salbadorbahiabrasil"
"bahia","salvador","praia de ondina","#praiadeondinha
#salvador
#salvadorba
#salvadorbahia
#bahia
#salvador
#salvadorbahiabrasil"
"bahia","salvador","praia do cristo","#praiadocristo  
#salvador
#salvadorba
#salvadorbahia
#bahia
#salvador
#salvadorbahiabrasil"
"bahia","salvador","farol da barra","#faroldabarra
#bahia
#salvador"
"bahia","salvador","praia da pituba","#praiadapituba
#bahia
#salvador"
"bahia","salvador","praia de amaralina","#praiadeamaralina
#salvador
#salvadorba
#salvadorbahia
#bahia
#salvador
#salvadorbahiabrasil"
"bahia","santa cruz cabrália","praia de coroa vermelha","#praiadecoroavermelha
#bahia
#santacruzcabralia
#santacruzcabrália
#santacruzcabraliabahia
#santacruzcabraliaba
#santacruzcabráliaba"
"bahia","mata de são joão","praia do forte","#praia do forte
#matadesaojoao
#bahia
#matadesãojoão
#matadesaojoaobahia
#matadesãojoao
#matadesaojoaoba
#salvadormeuamor"
"bahia","arraial d'ajuda","praia de mucugé","#praiademucugé
#praiademucuge"
"bahia","cairu","ilha de boipeba","#ilhadeboipeba
#boipeba
#ilhadeboipebabahia
#cairu
#bahia"
"bahia","cairu","morro de sẽo paulo ","#cairu
#bahia
#morrodesaopaulo"
"bahia","prado","praia de cumuruxatiba","#praiadecumuruxatiba
#praiadecumuruxatibabahia"
"bahia","bahia de todos os santos","ilha de itaparica","#ilhadeitaparica
#bahia
#baiadetodosossantos
#baíadetodosossantos
#bahia"
"bahia","vaziu","baía de todos os santos","#baiadetodosossantos
#baíadetodosossantos
#bahia"
"bahia","porto seguro","praia da ponta grande","#praiadapontagrande
#portoseguro
#bahia"
"bahia","porto seguro","parque marinho recife de fora","#parquemarinhorecifedefora
#portoseguro
#bahia"
"bahia","maraú","taipu de fora","#peninsulademarau
#taipudefora
#marau
#marau
#barragrande
#bahia
#peninsulademarau"
"bahia","caravelas","vaziu","#caravelas
#caravelasbahia
#bahia"
"bahia","alcobaça","recifes localizados entre alcobaça e nova viçosa","#alcobaça
#alcobaca
#alcobaçabahia
#alcobacabahia
#bahia"
"bahia","nova viçosa","recifes localizados entre alcobaça e nova viçosa","#novaviçosa
#portosegurobahia
#novavicosa
#bahia"
"ceará","são gonçalo do amarante","pecém","#pecem
#ceara
#ceará
#mergulhonoceara
#pecém
#sãogonçalodoamarante
#saogoncalodoamarante
#saogonçalodoamarante"
"ceará","fortaleza","praia da barra do ceará","#praiadabarradoceara
#praiadabarradoceará
#fortaleza
#ceara
#mergulhonoceara
#fortalezaceara
#fortalezaordinaria"
"espírito santo","guarapari","ilha escalvada","#ilhaescalvada
#ilhaescalvadaguarapari
#guarapari
#guaraparibeach
#capixaba"
"espírito santo","guarapari","praia de setiba","#praiadesetiba
#praiadesetibaes
#praiadesetibaguarapari
#praiadesetibapina
#praiadesetibao
#praiadesetibá
#guarapari
#guaraparibeach
#capixaba"
"espírito santo","vitória","ilha da trindade","#ilhadatrindade
#ilhadatrindadebrasil
#vitoria
#espiritosanto
#capixaba"
"espírito santo","anchieta","vaziu","#anchieta
#es"
"goiás","aparecida de goiânia","vaziu","#aparecidadegoiania
#goias
#aparecidadegoiânia
#aparecidadegôiânia"
"goiás","goiânia","vaziu","#goiania
#goiânia
#goiás
#goiãnia"
"goiás","porangatu","vaziu","#porangatu
#porangatugoias
#goiás
#goias"
"paraíba","joão pessoa","praia do bessa","#praiadobessa
#praiadobessajp
#praiadobessajoaopessoapb
#praiadobessapb
#praiadobessajampa
#joaopessoaparaiba
#joaopessoa
#joãopessoa
#paraíba 
#jampa"
"paraíba","joão pessoa","caribessa","#caribessa
#caribessaoficial
#caribessabeach
#caribessajp
#caribessajoaopessoa
#joaopessoaparaiba
#joaopessoa
#joãopessoa
#paraíba 
#jampa"
"paraíba","joão pessoa","praia de cabo branco","#praiadecabobranco
#praiadecabobrancopb
#joaopessoaparaiba
#joaopessoa
#joãopessoa
#paraíba 
#jampa"
"paraíba","joão pessoa","praia da ponta do seixas","#joaopessoaparaiba
#joaopessoa
#joãopessoa
#paraíba 
#jampa"
